Legislation Number,URL,Congress,Bill Text Type,Bill Text Type Code,Latest Title,HTML Url,PDF Url
H.R. 1927,https://www.congress.gov/bill/117th-congress/house-bill/1927,117,Introduced in House,IH,End Taxpayer Funding of Gender Experimentation Act of 2021,https://www.congress.gov/117/bills/hr1927/generated/BILLS-117hr1927ih.html,https://www.congress.gov/117/bills/hr1927/BILLS-117hr1927ih.pdf
H.R. 8731,https://www.congress.gov/bill/117th-congress/house-bill/8731,117,Introduced in House,IH,Protect Children’s Innocence Act,https://www.congress.gov/117/bills/hr8731/generated/BILLS-117hr8731ih.html,https://www.congress.gov/117/bills/hr8731/BILLS-117hr8731ih.pdf
H.R. 5,https://www.congress.gov/bill/117th-congress/house-bill/5,117,Engrossed in House,EH,Equality Act,https://www.congress.gov/117/bills/hr5/generated/BILLS-117hr5eh.html,https://www.congress.gov/117/bills/hr5/BILLS-117hr5eh.pdf
H.R. 5,https://www.congress.gov/bill/117th-congress/house-bill/5,117,Placed on Calendar Senate,PCS,Equality Act,https://www.congress.gov/117/bills/hr5/generated/BILLS-117hr5pcs.html,https://www.congress.gov/117/bills/hr5/BILLS-117hr5pcs.pdf
H.R. 5,https://www.congress.gov/bill/117th-congress/house-bill/5,117,Introduced in House,IH,Equality Act,https://www.congress.gov/117/bills/hr5/generated/BILLS-117hr5ih.html,https://www.congress.gov/117/bills/hr5/BILLS-117hr5ih.pdf
H.R. 7684,https://www.congress.gov/bill/117th-congress/house-bill/7684,117,Introduced in House,IH,No Tax Breaks for Radical Corporate Activism Act,https://www.congress.gov/117/bills/hr7684/generated/BILLS-117hr7684ih.html,https://www.congress.gov/117/bills/hr7684/BILLS-117hr7684ih.pdf
H.Res. 1475,https://www.congress.gov/bill/117th-congress/house-resolution/1475,117,Reported in House,RH,"Of inquiry requesting the President and directing the Secretary of Defense to transmit to the House of Representatives any record created on or after January 21, 2021, under the control of the President or the Secretary, respectively, that refers to the Department of Defense and includes certain terms and phrases relating to gender.",https://www.congress.gov/117/bills/hres1475/generated/BILLS-117hres1475rh.html,https://www.congress.gov/117/bills/hres1475/BILLS-117hres1475rh.pdf
H.R. 8170,https://www.congress.gov/bill/117th-congress/house-bill/8170,117,Introduced in House,IH,Empower Parents to Protect Their Kids Act of 2022,https://www.congress.gov/117/bills/hr8170/generated/BILLS-117hr8170ih.html,https://www.congress.gov/117/bills/hr8170/BILLS-117hr8170ih.pdf
H.R. 2695,https://www.congress.gov/bill/117th-congress/house-bill/2695,117,Referred in Senate,RFS,Combating Sexual Harassment in Science Act,https://www.congress.gov/117/bills/hr2695/generated/BILLS-117hr2695rfs.html,https://www.congress.gov/117/bills/hr2695/BILLS-117hr2695rfs.pdf
H.R. 2695,https://www.congress.gov/bill/117th-congress/house-bill/2695,117,Engrossed in House,EH,Combating Sexual Harassment in Science Act,https://www.congress.gov/117/bills/hr2695/generated/BILLS-117hr2695eh.html,https://www.congress.gov/117/bills/hr2695/BILLS-117hr2695eh.pdf
