Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date of Introduction,Latest Action,Latest Action Date,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
H.R. 3329,https://www.congress.gov/bill/118th-congress/house-bill/3329,118th Congress (2023-2024),End Taxpayer Funding of Gender Experimentation Act of 2023,,"LaMalfa, Doug [Rep.-R-CA-1]",5/15/23,Referred to the Subcommittee on Health.,5/19/23,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 345,https://www.congress.gov/bill/118th-congress/house-resolution/345,118th Congress (2023-2024),"Recognizing that infertility is a widespread problem that affects populations of diverse ages, races, ethnicities, and genders.",,"Wasserman Schultz, Debbie [Rep.-D-FL-25]",4/28/23,Referred to the Subcommittee on Health.,5/5/23,Health,Health information and medical records,Health promotion and preventive care,Health care coverage and access,Government information and archives,Disability and health-based discrimination,Adoption and foster care,"Health technology, devices, supplies",Sex and reproductive health,Racial and ethnic relations,Mental health,Medical research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4342,https://www.congress.gov/bill/118th-congress/house-bill/4342,118th Congress (2023-2024),Patsy T. Mink and Louise M. Slaughter Gender Equity in Education Act of 2023,,"Matsui, Doris O. [Rep.-D-CA-7]",6/23/23,Referred to the House Committee on Education and the Workforce.,6/23/23,"Civil Rights and Liberties, Minority Issues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 790,https://www.congress.gov/bill/118th-congress/house-resolution/790,118th Congress (2023-2024),Expressing the sense of the House of Representatives that corporations should commit to utilizing the benefits of gender diversity in boards of directors and other senior management positions.,,"Beyer, Donald S., Jr. [Rep.-D-VA-8]",10/17/23,Referred to the House Committee on Education and the Workforce.,10/25/23,Finance and Financial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Con.Res. 36,https://www.congress.gov/bill/118th-congress/house-concurrent-resolution/36,118th Congress (2023-2024),Calling for the end of impunity of unpunished Serbian sexual war crimes during the 1999 Kosovo war in the case of United States citizen and sexual war crime survivor Vasfije Krasniqi Goodman and other survivors of sexual and gender-based violence.,,"Allred, Colin Z. [Rep.-D-TX-32]",4/27/23,Referred to the House Committee on Foreign Affairs.,4/27/23,International Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 561,https://www.congress.gov/bill/118th-congress/house-resolution/561,118th Congress (2023-2024),"Expressing opposition to the use of State power against people in the United States seeking essential health care, including criminalization of the full range of sexual and reproductive health care such as abortion, gender-affirming care, and contraceptive care, and disapproving of State punishment of people for their pregnancy outcomes.",,"Williams, Nikema [Rep.-D-GA-5]",6/27/23,Referred to the Subcommittee on Health.,6/30/23,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 6258,https://www.congress.gov/bill/118th-congress/house-bill/6258,118th Congress (2023-2024),"To amend the Child Abuse Prevention and Treatment Act to disqualify any State that discriminates against parents or guardians who oppose medical, surgical, pharmacological, psychological treatment, or clothing and social changes related to affirming the subjective claims of gender identity expressed by any minor if such claimed identity is inconsistent with such minor's biological sex from receiving funding under such Act.",,"Banks, Jim [Rep.-R-IN-3]",11/7/23,Referred to the House Committee on Education and the Workforce.,11/7/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 15,https://www.congress.gov/bill/118th-congress/house-bill/15,118th Congress (2023-2024),Equality Act,,"Takano, Mark [Rep.-D-CA-39]",6/21/23,"Referred to the Committee on the Judiciary, and in addition to the Committees on Education and the Workforce, Financial Services, House Administration, and Oversight and Accountability, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",6/21/23,"Civil Rights and Liberties, Minority Issues",Civil actions and liability,Consumer credit,Sports and recreation facilities,"Sex, gender, sexual orientation discrimination",Retail and wholesale trades,Religion,"Museums, exhibitions, cultural centers",Judicial procedure and administration,Housing discrimination,Higher education,"Government employee pay, benefits, personnel management",Employment discrimination and employee rights,Elementary and secondary education,Due process and equal protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1399,https://www.congress.gov/bill/118th-congress/house-bill/1399,118th Congress (2023-2024),Protect Children’s Innocence Act,,"Greene, Marjorie Taylor [Rep.-R-GA-14]",3/7/23,Referred to the Subcommittee on Health.,3/17/23,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1276,https://www.congress.gov/bill/118th-congress/house-bill/1276,118th Congress (2023-2024),Protect Minors from Medical Malpractice Act of 2023,,"Banks, Jim [Rep.-R-IN-3]",3/1/23,Referred to the Subcommittee on Indian and Insular Affairs .,3/22/23,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
