Legislation Number,URL,Congress,Bill Text Type,Bill Text Type Code,Latest Title,HTML Url,PDF Url
S. 1595,https://www.congress.gov/bill/118th-congress/senate-bill/1595,118,Introduced in Senate,IS,End Taxpayer Funding of Gender Experimentation Act of 2023,https://www.congress.gov/118/bills/s1595/generated/BILLS-118s1595is.html,https://www.congress.gov/118/bills/s1595/BILLS-118s1595is.pdf
S. 435,https://www.congress.gov/bill/118th-congress/senate-bill/435,118,Introduced in Senate,IS,Ensuring Military Readiness Act of 2023,https://www.congress.gov/118/bills/s435/generated/BILLS-118s435is.html,https://www.congress.gov/118/bills/s435/BILLS-118s435is.pdf
S. 1597,https://www.congress.gov/bill/118th-congress/senate-bill/1597,118,Introduced in Senate,IS,Protecting Children From Experimentation Act of 2023,https://www.congress.gov/118/bills/s1597/generated/BILLS-118s1597is.html,https://www.congress.gov/118/bills/s1597/BILLS-118s1597is.pdf
S. 5,https://www.congress.gov/bill/118th-congress/senate-bill/5,118,Introduced in Senate,IS,Equality Act,https://www.congress.gov/118/bills/s5/generated/BILLS-118s5is.html,https://www.congress.gov/118/bills/s5/BILLS-118s5is.pdf
S. 187,https://www.congress.gov/bill/118th-congress/senate-bill/187,118,Introduced in Senate,IS,No Tax Breaks for Radical Corporate Activism Act of 2023,https://www.congress.gov/118/bills/s187/generated/BILLS-118s187is.html,https://www.congress.gov/118/bills/s187/BILLS-118s187is.pdf
S. 1709,https://www.congress.gov/bill/118th-congress/senate-bill/1709,118,Introduced in Senate,IS,Empower Parents to Protect Their Kids Act of 2023,https://www.congress.gov/118/bills/s1709/generated/BILLS-118s1709is.html,https://www.congress.gov/118/bills/s1709/BILLS-118s1709is.pdf
S. 2279,https://www.congress.gov/bill/118th-congress/senate-bill/2279,118,Introduced in Senate,IS,LGBTQ+ Panic Defense Prohibition Act of 2023,https://www.congress.gov/118/bills/s2279/generated/BILLS-118s2279is.html,https://www.congress.gov/118/bills/s2279/BILLS-118s2279is.pdf
S. 457,https://www.congress.gov/bill/118th-congress/senate-bill/457,118,Introduced in Senate,IS,Protecting Our Kids from Child Abuse Act,https://www.congress.gov/118/bills/s457/generated/BILLS-118s457is.html,https://www.congress.gov/118/bills/s457/BILLS-118s457is.pdf
S.Res. 144,https://www.congress.gov/bill/118th-congress/senate-resolution/144,118,Introduced in Senate,IS,"A resolution recognizing that it is the duty of the Federal Government to develop and implement a Transgender Bill of Rights to protect and codify the rights of transgender and nonbinary people under the law and ensure their access to medical care, shelter, safety, and economic safety.",https://www.congress.gov/118/bills/sres144/generated/BILLS-118sres144is.html,https://www.congress.gov/118/bills/sres144/BILLS-118sres144is.pdf
S. 1839,https://www.congress.gov/bill/118th-congress/senate-bill/1839,118,Introduced in Senate,IS,LGBTQI+ Data Inclusion Act,https://www.congress.gov/118/bills/s1839/generated/BILLS-118s1839is.html,https://www.congress.gov/118/bills/s1839/BILLS-118s1839is.pdf
S. 2145,https://www.congress.gov/bill/118th-congress/senate-bill/2145,118,Introduced in Senate,IS,Patsy T. Mink and Louise M. Slaughter Gender Equity in Education Act of 2023,https://www.congress.gov/118/bills/s2145/generated/BILLS-118s2145is.html,https://www.congress.gov/118/bills/s2145/BILLS-118s2145is.pdf
S. 2176,https://www.congress.gov/bill/118th-congress/senate-bill/2176,118,Introduced in Senate,IS,Therapeutic Fraud Prevention Act of 2023,https://www.congress.gov/118/bills/s2176/generated/BILLS-118s2176is.html,https://www.congress.gov/118/bills/s2176/BILLS-118s2176is.pdf
S. 1163,https://www.congress.gov/bill/118th-congress/senate-bill/1163,118,Introduced in Senate,IS,Aviation Minority Workforce Development Act of 2023,https://www.congress.gov/118/bills/s1163/generated/BILLS-118s1163is.html,https://www.congress.gov/118/bills/s1163/BILLS-118s1163is.pdf
S. 200,https://www.congress.gov/bill/118th-congress/senate-bill/200,118,Introduced in Senate,IS,PROTECT Kids Act,https://www.congress.gov/118/bills/s200/generated/BILLS-118s200is.html,https://www.congress.gov/118/bills/s200/BILLS-118s200is.pdf
S. 1007,https://www.congress.gov/bill/118th-congress/senate-bill/1007,118,Introduced in Senate,IS,International Human Rights Defense Act of 2023,https://www.congress.gov/118/bills/s1007/generated/BILLS-118s1007is.html,https://www.congress.gov/118/bills/s1007/BILLS-118s1007is.pdf
S. 3011,https://www.congress.gov/bill/118th-congress/senate-bill/3011,118,Introduced in Senate,IS,Passport Sanity Act,https://www.congress.gov/118/bills/s3011/generated/BILLS-118s3011is.html,https://www.congress.gov/118/bills/s3011/BILLS-118s3011is.pdf
S. 2658,https://www.congress.gov/bill/118th-congress/senate-bill/2658,118,Introduced in Senate,IS,Fair Calculations in Civil Damages Act of 2023,https://www.congress.gov/118/bills/s2658/generated/BILLS-118s2658is.html,https://www.congress.gov/118/bills/s2658/BILLS-118s2658is.pdf
S. 1697,https://www.congress.gov/bill/118th-congress/senate-bill/1697,118,Introduced in Senate,IS,Real Education and Access for Healthy Youth Act of 2023,https://www.congress.gov/118/bills/s1697/generated/BILLS-118s1697is.html,https://www.congress.gov/118/bills/s1697/BILLS-118s1697is.pdf
S.Res. 282,https://www.congress.gov/bill/118th-congress/senate-resolution/282,118,Introduced in Senate,IS,"A resolution recognizing June 2023 as ""LGBTQ Pride Month"".",https://www.congress.gov/118/bills/sres282/generated/BILLS-118sres282is.html,https://www.congress.gov/118/bills/sres282/BILLS-118sres282is.pdf
S. 2394,https://www.congress.gov/bill/118th-congress/senate-bill/2394,118,Introduced in Senate,IS,GUARD Act,https://www.congress.gov/118/bills/s2394/generated/BILLS-118s2394is.html,https://www.congress.gov/118/bills/s2394/BILLS-118s2394is.pdf
S. 1959,https://www.congress.gov/bill/118th-congress/senate-bill/1959,118,Introduced in Senate,IS,Jury ACCESS Act of 2023,https://www.congress.gov/118/bills/s1959/generated/BILLS-118s1959is.html,https://www.congress.gov/118/bills/s1959/BILLS-118s1959is.pdf
S. 2357,https://www.congress.gov/bill/118th-congress/senate-bill/2357,118,Introduced in Senate,IS,Protect Children’s Innocence Act,https://www.congress.gov/118/bills/s2357/generated/BILLS-118s2357is.html,https://www.congress.gov/118/bills/s2357/BILLS-118s2357is.pdf
S. 3035,https://www.congress.gov/bill/118th-congress/senate-bill/3035,118,Introduced in Senate,IS,Protecting Our Kids from Harmful Research Act,https://www.congress.gov/118/bills/s3035/generated/BILLS-118s3035is.html,https://www.congress.gov/118/bills/s3035/BILLS-118s3035is.pdf
