,Match,Definition
0,sex' means,"Biological sex.--The term `biological sex' means the biological indication of male or female in the context of reproductive potential or capacity, such as sex chromosomes, naturally occurring sex hormones, gonads, and non-ambiguous internal and external genitalia present at birth, without regard to an individual's psychological, chosen, or subjective experience of gender."
1,biological sex' means,"Biological sex.--The term `biological sex' means the biological indication of male or female in the context of reproductive potential or capacity, such as sex chromosomes, naturally occurring sex hormones, gonads, and non-ambiguous internal and external genitalia present at birth, without regard to an individual's psychological, chosen, or subjective experience of gender."
2,gender' means,"Gender.--The term `gender' means the psychological, behavioral, social, and cultural aspects of being male or female."
3,gender transition' means,"Gender transition.--The term `gender transition' means the process in which an individual goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex, and may involve social, legal, or physical changes."
4,gender transition procedure' means,In general.--The term `gender transition procedure' means any medical or surgical service that seeks--``(i) to alter or remove physical or anatomical characteristics or features that are typical for the individual's biological sex; or``(ii) to instill or create physiological or anatomical characteristics that resemble a sex different from the individual's birth sex.
5,gender transition surgery' means,In general.--The term `gender transition surgery' means any medical or surgical service that seeks to surgically alter or remove healthy physical or anatomical characteristics or features that are typical for the individual's biological sex in order to instill or create physiological or anatomical characteristics that resemble a sex different from the individual's birth sex.
6,gender transition surgery' includes,Inclusions.--The term `gender transition surgery' includes genital gender transition surgery and non-genital gender transition surgery.
7,gender transition surgery' means,"Genital gender transition surgery.--The term `genital gender transition surgery' means a surgical procedure performed for the purpose of assisting an individual with a gender transition, including--``(A) for biologically male patients, a penectomy, orchiectomy, vaginoplasty, clitoroplasty, and vulvoplasty; and``(B) for biologically female patients, a hysterectomy/ovariectomy, reconstruction of the fixed part of the urethra with or without a metoidioplasty or a phalloplasty, vaginectomy, scrotoplasty, and implantation of erection or testicular prostheses."
8,gender transition surgery' means,"Non-genital gender transition surgery.--The term `non-genital gender transition surgery' means a surgical procedure performed for the purpose of assisting an individual with a gender transition, including--``(A) for biologically male patients, augmentation mammoplasty, facial feminization surgery, liposuction, lipofilling, voice surgery, thyroid cartilage reduction, gluteal augmentation (implants/lipofilling), hair reconstruction, and various aesthetic procedures; and``(B) for biologically female patients, subcutaneous mastectomy, voice surgery, liposuction, lipofilling, pectoral implants, and various aesthetic procedures."
9,-sex hormones'' means,"hormones.--The term ``cross-sex hormones'' means testosterone or other androgens given to biological females at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological females, or estrogen given to biological males at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological males.(2) Gender.--The term ``gender'' means the psychological, behavioral, social, and cultural aspects of being male or female.(3)"
10,sex hormones'' means,"hormones.--The term ``cross-sex hormones'' means testosterone or other androgens given to biological females at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological females, or estrogen given to biological males at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological males.(2) Gender.--The term ``gender'' means the psychological, behavioral, social, and cultural aspects of being male or female.(3)"
11,cross-sex hormones'' means,"hormones.--The term ``cross-sex hormones'' means testosterone or other androgens given to biological females at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological females, or estrogen given to biological males at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological males.(2) Gender.--The term ``gender'' means the psychological, behavioral, social, and cultural aspects of being male or female.(3)"
12,gender'' means,"hormones.--The term ``cross-sex hormones'' means testosterone or other androgens given to biological females at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological females, or estrogen given to biological males at doses that are profoundly larger or more potent than would normally occur naturally in healthy biological males.(2) Gender.--The term ``gender'' means the psychological, behavioral, social, and cultural aspects of being male or female.(3)"
13,gender dysphoria'' means,"Gender dysphoria.--The term ``gender dysphoria'' means a marked incongruence between one's experienced or expressed gender and biological sex.(4) Gender transition.--The term ``gender transition'' means the process by which a person goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex, and may involve social, legal, or physical changes.(5)"
14,gender transition'' means,"Gender dysphoria.--The term ``gender dysphoria'' means a marked incongruence between one's experienced or expressed gender and biological sex.(4) Gender transition.--The term ``gender transition'' means the process by which a person goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex, and may involve social, legal, or physical changes.(5)"
