,match_no_punct,def_no_punct
0,gender affirming care means,in general.--for purposes of this chapter except as provided in subparagraph b the term  gender affirming care means with respect to an individual any of the following:(i
1,sex means,biological sex.--the term  biological sex means the indication of male or female sex by reproductive potential or capacity sex chromosomes naturally occurring sex hormones gonads or internal or external genitalia present at birth
2,biological sex means,biological sex.--the term  biological sex means the indication of male or female sex by reproductive potential or capacity sex chromosomes naturally occurring sex hormones gonads or internal or external genitalia present at birth
3,orientation includes,an explicit and comprehensive national solution is needed to address this discrimination including the full range of remedies available under the civil rights act of 1964.(12 discrimination based on sexual orientation includes discrimination based on an individual s actual or perceived romantic emotional physical or sexual attraction to other persons or lack thereof on the basis of gender
4,gender identity means,gender identity.--the term  gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth
5,orientation means,  5 sexual orientation.--the term  sexual orientation means homosexuality heterosexuality or bisexuality
6,gender transition procedure means,in general.--the term  gender transition procedure means any medical or surgical service which seeks to alter or remove physiological or anatomical characteristics or features which are typical for the individual s biological sex or to instill or create physiological or anatomical characteristics which resemble a sex different from the individual s birth sex for the purpose of gender transition including--(i physician s services and inpatient and outpatient hospital services including gender transition surgery and(ii prescribed drugs related to gender transition including puberty blocking drugs cross sex hormones or other mechanisms to promote the development of feminizing or masculinizing features in the opposite sex).(ii exceptions.--such term does not include--(i services for treatment of a medically verifiable disorder of sex development including--(aa external biological sex characteristics which are irresolvably ambiguous such as presence of 46 xx chromosomes with virilization 46 xy chromosomes with undervirilization or both ovarian and testicular tissue or(bb other physician diagnosed disorder of sexual development with respect to which the physician has determined through genetic or biochemical testing that the individual does not have normal sex chromosome structure sex steroid hormone production or sex steroid hormone action for a biological male or biological female or(ii treatment of any infection injury disease or disorder caused or exacerbated by the performance of any gender transition procedure whether or not the gender transition procedure was performed in accordance with state and federal law or whether not a deduction for expenses in connection with the gender transition procedure is allowable under this chapter
7,gender means,gender.--the term  gender means the psychological behavioral social and cultural aspects of being male or female
8,gender transition means,gender transition.--the term  gender transition means the process in which an individual goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex and may involve social legal or physical changes
9,gender transition surgery means,in general.--the term  gender transition surgery means any surgical service including genital or non genital surgery performed for the purpose of assisting an individual with a gender transition
10,-sex hormones means,hormones.--the term  cross sex hormones means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males
11,sex hormones means,hormones.--the term  cross sex hormones means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males
12,cross sex hormones means,hormones.--the term  cross sex hormones means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males
13,sex means,biological sex.--the term   biological sex means the biological indication of male and female as determined by reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to a person s psychological chosen or subjective experience of gender.(2
14,biological sex means,biological sex.--the term   biological sex means the biological indication of male and female as determined by reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to a person s psychological chosen or subjective experience of gender.(2
15,gender identity means,gender identity.--the term   gender identity means a person s self perception of their gender or claimed gender regardless of the person s biological sex.(5
16,gender transition includes,in general.--the term   gender transition includes both medical transition and social transition.(b medical transition.--the term   medical transition means any medical hormonal or surgical intervention undertaken to alter the body of a person in order to assert an identity incongruent with biological sex or undertaken to create or facilitate the development of physiological or anatomical characteristics that resemble a sex different from the person s biological sex.(c
