,train
0,The term gender affirming care means with respect to an individual any of the following:(i
1,The term sex means the indication of male or female sex by reproductive potential or capacity sex chromosomes naturally occurring sex hormones gonads or internal or external genitalia present at birth
2,The term biological sex means the indication of male or female sex by reproductive potential or capacity sex chromosomes naturally occurring sex hormones gonads or internal or external genitalia present at birth
3,The term orientation includes discrimination based on an individual s actual or perceived romantic emotional physical or sexual attraction to other persons or lack thereof on the basis of gender
4,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth
5,The term orientation means homosexuality heterosexuality or bisexuality
6,The term gender transition procedure means any medical or surgical service which seeks to alter or remove physiological or anatomical characteristics or features which are typical for the individual s biological sex or to instill or create physiological or anatomical characteristics which resemble a sex different from the individual s birth sex for the purpose of gender transition including--(i physician s services and inpatient and outpatient hospital services including gender transition surgery and(ii prescribed drugs related to gender transition including puberty blocking drugs cross sex hormones or other mechanisms to promote the development of feminizing or masculinizing features in the opposite sex).(ii exceptions.--such term does not include--(i services for treatment of a medically verifiable disorder of sex development including--(aa external biological sex characteristics which are irresolvably ambiguous such as presence of 46 xx chromosomes with virilization 46 xy chromosomes with undervirilization or both ovarian and testicular tissue or(bb other physician diagnosed disorder of sexual development with respect to which the physician has determined through genetic or biochemical testing that the individual does not have normal sex chromosome structure sex steroid hormone production or sex steroid hormone action for a biological male or biological female or(ii treatment of any infection injury disease or disorder caused or exacerbated by the performance of any gender transition procedure whether or not the gender transition procedure was performed in accordance with state and federal law or whether not a deduction for expenses in connection with the gender transition procedure is allowable under this chapter
7,The term gender means the psychological behavioral social and cultural aspects of being male or female
8,The term gender transition means the process in which an individual goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex and may involve social legal or physical changes
9,The term gender transition surgery means any surgical service including genital or non genital surgery performed for the purpose of assisting an individual with a gender transition
10,hormones.--the term  cross sex hormones means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males
11,The term sex hormones means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males
12,The term cross sex hormones means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males
13,The term sex means the biological indication of male and female as determined by reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to a person s psychological chosen or subjective experience of gender.(2
14,The term biological sex means the biological indication of male and female as determined by reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to a person s psychological chosen or subjective experience of gender.(2
15,The term gender identity means a person s self perception of their gender or claimed gender regardless of the person s biological sex.(5
16,The term gender transition includes both medical transition and social transition.(b medical transition.--the term   medical transition means any medical hormonal or surgical intervention undertaken to alter the body of a person in order to assert an identity incongruent with biological sex or undertaken to create or facilitate the development of physiological or anatomical characteristics that resemble a sex different from the person s biological sex.(c
17,"The term gender harassment which includes verbal and nonverbal behaviors that convey insulting hostile and degrading attitudes about members of one gender;(c 58 percent of individuals in the academic workplace experience sexual harassment the second highest rate when compared to the military the private sector and federal state and local government;(d women who are members of racial or ethnic minority groups are more likely to experience sexual harassment and to feel unsafe at work than white women white men or men who are members of such groups;(e the training for each individual who has a doctor of philosophy in the science technology engineering and mathematics fields is estimated to cost approximately $ 500,000 and(f attrition of an individual so trained results in a loss of talent and money.(2 sexual harassment undermines career advancement for women.(3"
18,The term gender harassment means verbal and nonverbal behaviors that convey hostility objectification exclusion or second class status about one s gender gender identity gender presentation sexual orientation or pregnancy status.(6 grantee.--the term   grantee means the legal entity to which a grant is awarded and that is accountable to the federal government for the use of the funds provided.(7
19,The term gender analysis means the examination of the differential impact of policies on different genders.(4
20,The term gender based violence--(a means any harmful threat or act directed at an individual or group based on actual or perceived biological sex gender identity or expression sexual orientation or lack of adherence to varying socially constructed norms around masculinity and femininity;(b is rooted in structural gender inequalities patriarchy and power imbalances and(c includes the use or threat of physical psychological sexual economic legal political social and other forms of control or abuse.(5 office.--the term   office means the office of global women s issues established by the secretary of state pursuant to section 201(a).(6 senior coordinator.--the term   senior coordinator means the senior coordinator for gender equality and women s empowerment at the united states agency for international development appointed pursuant to section 202.(7 violence against women and girls.--the term   violence against women and girls--(a means any act of violence against women or girls that results in or is likely to result in physical sexual or psychological harm or suffering to women or girls including threats of such acts coercion or arbitrary deprivations of liberty whether occurring in public or private life and(b includes--(i physical sexual and psychological violence occurring in the family including battering sexual abuse of female children in the household dowry related violence marital rape female genital cutting and mutilation forced child marriage and other harmful practices to women and girls nonspousal violence and violence related to exploitation;(ii physical sexual and psychological violence occurring within the general community including rape sexual abuse sexual harassment and intimidation at work in educational institutions and elsewhere trafficking in women and girls and forced prostitution and(iii physical sexual and psychological violence perpetrated or condoned by the state wherever it occurs
21,The term gender identity means an individual s sense of being male female transgender or another gender as distinct from the individual s sex assigned at birth.(4
22,The term orientation means how a person identifies in terms of their emotional romantic or sexual attractions and includes identification as straight heterosexual gay lesbian or bisexual among other terms.(5 survey.--the term   survey means a data collection activity involving observation or questionnaires for a sample of a population and includes the decennial census
23,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth
24,The term orientation means homosexuality heterosexuality or bisexuality
25,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual without regard to the individual s designated sex at birth
26,The term orientation means homosexuality heterosexuality or bisexuality
27,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual without regard to the individual s designated sex at birth
28,The term orientation means homosexuality heterosexuality or bisexuality
29,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual without regard to the individual s designated sex at birth
30,The term orientation means homosexuality heterosexuality or bisexuality
31,The term orientation means homosexuality heterosexuality or bisexuality
32,The term orientation means homosexuality heterosexuality or bisexuality
33,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual without regard to the individual s designated sex at birth
34,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual without regard to the individual s designated sex at birth
35,"The term orientation means homosexuality heterosexuality or bisexuality and(3 in section 705 by inserting   sexual orientation gender identity after   sex.(e discrimination in refugee resettlement prohibited.--section 412(a)(5 of the immigration and nationality act 8 u.s.c. 1522(a)(5 is amended by inserting   sexual orientation gender identity after   sex,.(f safe schools.--title iv of the elementary and secondary education act of 1965 20 u.s.c. 7101 et seq is amended by adding at the end the following   part g safe schools improvementsec"
36,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(5 national gender equity infrastructure.--the term   national gender equity infrastructure means the horizontal and vertical network of title ix coordinators and their allies who work to advance gender equity and eliminate discrimination in the united states.(6
37,The term gender equity infrastructure means the horizontal and vertical network of title ix coordinators and their allies who work to advance gender equity and eliminate discrimination in the united states.(6
38,The term orientation means homosexuality heterosexuality or bisexuality.(9
39,The term orientation means homosexuality heterosexuality or bisexuality ;(2 in section 804 by inserting   including sexual orientation and gender identity
40,The term gender specific services means mammography obstetric care gynecological care and such other services as the secretary determines appropriate .(b
41,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(4 pat down.--the term   pat down means a physical inspection of a passenger s body including the inspection of the head hair torso breasts groin buttocks or other body parts
42,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the designated sex of the individual at birth.(5 religion sex including sexual orientation and gender identity or marital status.--the term   religion sex including sexual orientation and gender identity or marital status used with respect to an individual includes--(a the religion sex including sexual orientation and gender identity or marital status respectively of another person with whom the individual is or has been associated and(b a perception or belief even if inaccurate concerning the religion sex including sexual orientation and gender identity or marital status respectively of the individual.(6 secretary.--the term   secretary means the secretary of health and human services.(7
43,The term orientation means homosexuality heterosexuality or bisexuality.(9 state.--the term   state means each of the 50 states of the united states the district of columbia the commonwealth of puerto rico the united states virgin islands guam the commonwealth of the northern mariana islands and american samoa
44,"The term gender identity means an individual s sense of being male female transgender or another gender as distinct from the individual s sex assigned at birth.(2 sexual orientation.--the term   sexual orientation means how a person identifies in terms of their emotional romantic or sexual attractions and includes identification as straight heterosexual gay lesbian or bisexual among other terms.(c authorization.--there is authorized to be appropriated $ 25,000,000 for fiscal year 2022 to carry out this section"
45,"The term orientation means how a person identifies in terms of their emotional romantic or sexual attractions and includes identification as straight heterosexual gay lesbian or bisexual among other terms.(c authorization.--there is authorized to be appropriated $ 25,000,000 for fiscal year 2022 to carry out this section"
46,The term sex means the biological indication of male or female in the context of reproductive potential or capacity including sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth.(3 esea terms.--the terms   elementary school and   parent have the meanings given such terms in section 8101 of the elementary and secondary education act of 1965 20 u.s.c. 7801).(4
47,The term biological sex means the biological indication of male or female in the context of reproductive potential or capacity including sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth.(3 esea terms.--the terms   elementary school and   parent have the meanings given such terms in section 8101 of the elementary and secondary education act of 1965 20 u.s.c. 7801).(4
48,The term gender identity means an individual s perception of their own gender or claimed gender regardless of the biological sex of the individual.(5 lesson.--the term   lesson means a planned and structured period of learning.(6 secretary.--the term   secretary means the secretary of education.(7
49,The term orientation means an individual s actual or perceived romantic physical or sexual attraction to other individuals or lack thereof on the basis of gender.(8 transgender individual.--the term   transgender individual means an individual whose gender identity or behavior does not conform to that typically associated with the biological sex of the individual.(9 transgender studies.--the term   transgender studies means the study of transgender individuals
50,The term transgender individual means an individual whose gender identity or behavior does not conform to that typically associated with the biological sex of the individual.(9 transgender studies.--the term   transgender studies means the study of transgender individuals
51,The term transgender studies means the study of transgender individuals
52,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth.(3 person.--the term   person means any individual partnership corporation cooperative association or any other entity.(4
53,The term orientation means homosexuality heterosexuality or bisexuality
54,The term gender identity means with respect to an individual such individual s sense of being male female transgender or another gender as distinct from the individual s sex assigned at birth.(2 sexual orientation.--the term   sexual orientation means with respect to an individual how such individual identifies in terms of their emotional romantic or sexual attractions and includes identification as straight heterosexual gay lesbian or bisexual among other identifications
55,The term orientation means with respect to an individual how such individual identifies in terms of their emotional romantic or sexual attractions and includes identification as straight heterosexual gay lesbian or bisexual among other identifications
56,The term gender identity means with respect to an individual such individual s sense of being male female transgender or another gender as distinct from the individual s sex assigned at birth
57,The term orientation means with respect to an individual how such individual identifies in terms of their emotional romantic or sexual attractions and includes identification as straight heterosexual gay lesbian or bisexual among other identifications
58,The term gender identity means the gender related identity appearance mannerisms or other gender related characteristics of an individual regardless of the individual s designated sex at birth
59,The term orientation means homosexuality heterosexuality or bisexuality .(b
60,The term sex means the biological classification of male and female in the context of reproductive potential or capacity as indicated by sex chromosomes naturally occurring sex hormones gonads and nonambiguous internal and external genitalia present at birth without regard to a person s psychological chosen or subjectively experienced sense of identity or gender
